Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX U.S. Premier,17.450000,45.006500,1000,Common Stock,USA,Michigan
MHGUP,MERITAGE HOSPTLTY PFD B,OTCQX U.S. Premier,32.500000,90.000000,0,Preferred Stock,USA,Michigan
TYCB,TAYLOR(CLVN B)BKG BRLN MD,OTCQX U.S. Premier,35.000000,31.399000,0,Common Stock,USA,Maryland
STBI,STURGIS BANCORP INC,OTCQX U.S. Premier,25.050000,47.792400,1050,Common Stock,USA,Michigan
PSBP,PSB HOLDING CORP,OTCQX U.S. Premier,27.500000,431.152400,0,Common Stock,USA,Maryland
OCBI,ORANGE CTY BNCRP INC,OTCQX U.S. Premier,27.250000,227.672500,0,Common Stock,USA,New York
MNBP,MARS BANCORP INC,OTCQX U.S. Premier,395.000000,39.965400,52,Common Stock,USA,Pennsylvania
MNAT,MARQUETTE NATL CORP,OTCQX U.S. Premier,35.750000,146.519700,100,Common Stock,USA,Illinois
KISB,KISH BANCORP INC,OTCQX U.S. Premier,31.600000,36.588500,0,Common Stock,USA,Pennsylvania
KCLI,KANSAS CITY LIFE INS NEW,OTCQX U.S. Premier,35.250000,75.489100,1000,Common Stock,USA,Missouri
FRAF,FRANKLIN FINCL SVCS CORP,OTCQX U.S. Premier,36.000000,31.085000,1031,Common Stock,USA,Pennsylvania
FBAK,FIRST NB ALASKA,OTCQX U.S. Premier,260.990000,46.029500,20,Common Stock,USA,Alaska
FETM,FENTURA FINANCIAL INC,OTCQX U.S. Premier,20.890000,207.203400,100,Common Stock,USA,Michigan
CNIG,CORNING NATURAL GAS HLDG,OTCQX U.S. Premier,19.850000,58.658800,7,Common Stock,USA,New York
CBAF,CITBA FINANCIAL CORP,OTCQX U.S. Premier,55.000000,19.237100,100,Common Stock,USA,Indiana
CPTP,CAPITAL PROPERTIES INC A,OTCQX U.S. Premier,14.900000,6.819700,0,Common Stock,USA,Rhode Island
KTYB,KENTUCKY BANCSHARES INC,OTCQX U.S. Premier,24.050000,66.741700,0,Common Stock,USA,Kentucky
BHWB,BLACKHAWK BANCORP INC,OTCQX U.S. Premier,28.500000,8.831600,0,Common Stock,USA,Wisconsin
CFNB,CALIF FIRST NATL BANCORP,OTCQX U.S. Premier,15.500000,3.827100,100,Common Stock,USA,California
BNCC,BNCCORP INC,OTCQX U.S. Premier,27.450000,129.768100,1000,Common Stock,USA,North Dakota
CNAF,COMML NATL FINCL CORP PA,OTCQX U.S. Premier,20.900000,248.398200,32789,Common Stock,USA,Pennsylvania
DBIN,DACOTAH BANKS INC,OTCQX U.S. Premier,34.050000,0.000000,0,Common Stock,USA,South Dakota
ALRS,ALERUS FINCL CORP,OTCQX U.S. Premier,19.500000,129.766600,500,Common Stock,USA,Minnesota
SMID,SMITH-MIDLAND CORP,OTCQX U.S. Premier,7.600000,215.969200,38827,Common Stock,USA,Virginia
CMTV,COMMUTY BANCORP VT,OTCQX U.S. Premier,16.850000,226.383500,525,Common Stock,USA,Vermont
FMBM,F & M BANK CORP,OTCQX U.S. Premier,32.000000,99.585500,0,Common Stock,USA,Virginia
CHBH,CROGHAN BANCSHARES INC,OTCQX U.S. Premier,50.800000,74.635900,1060,Common Stock,USA,Ohio
PPBN,PINNACLE BANKSHARES CORP,OTCQX U.S. Premier,31.500000,0.000000,0,Common Stock,USA,Virginia
WAYN,WAYNE SAVINGS BNCSHS INC,OTCQX U.S. Premier,20.250000,135.497500,901,Common Stock,USA,Ohio
VSBN,VSB BANCORP INC (NY),OTCQX U.S. Premier,21.300000,30.542500,12,Common Stock,USA,New York
NASB,NASB FINCL INC,OTCQX U.S. Premier,40.000000,94.803000,830,Common Stock,USA,Missouri
VABK,VIRGINIA NATIONAL BNKSHS,OTCQX U.S. Premier,38.750000,36.691200,0,Common Stock,USA,Virginia
UBNC,UNION BANK,OTCQX U.S. Premier,14.871000,41.145600,273,Common Stock,USA,North Carolina
FMCB,FRMRS&MER BNCORP LODI CA,OTCQX U.S. Premier,725.010000,68.611600,0,Common Stock,USA,California
CBKM,CONSUMERS BANCORP INC,OTCQX U.S. Premier,18.570000,23.507900,1,Common Stock,USA,Ohio
ISBA,ISABELLA BANK CORP,OTCQX U.S. Premier,23.750000,42.130000,14,Common Stock,USA,Michigan
CSVI,COMPUTER SVCS INC,OTCQX U.S. Premier,57.790000,162.067100,3312,Common Stock,USA,Kentucky
CYSM,COMMUTY BANCORP SAN MAR,OTCQX U.S. Premier,12.500000,122.898700,1,Common Stock,USA,California
KTHN,KATAHDIN BANKSHARES CORP,OTCQX U.S. Premier,16.650000,59.249600,528,Common Stock,USA,Maine
BVBC,BLUE VALLEY BAN CORP,OTCQX U.S. Premier,14.000000,3.177500,0,Common Stock,USA,Kansas
HARL,HARLEYSVILLE FINCL CORP,OTCQX U.S. Premier,23.550000,102.428700,3390,Common Stock,USA,Pennsylvania
MVLY,MISSION VALLEY BANCORP,OTCQX U.S. Premier,14.850000,90.981400,0,Common Stock,USA,California
EFSI,EAGLE FINCL SVCS INC,OTCQX U.S. Premier,30.550000,107.261000,1011,Common Stock,USA,Virginia
DMKBA,DENMARK BANCSHARES INC A,OTCQX U.S. Premier,24.250000,4.188200,0,Common Stock,USA,Wisconsin
DMKBB,DENMARK BANCSHARES INC B,OTCQX U.S. Premier,24.000000,0.000000,0,Common Stock,USA,Wisconsin
DYAI,DYADIC INTL INC,OTCQX U.S. Premier,3.250000,268.169900,231194,Common Stock,USA,Florida
FDVA,FREEDOM BANK OF VIRGINIA,OTCQX U.S. Premier,10.000000,12.907900,1453,Common Stock,USA,Virginia
RYFL,ROYAL FINANCIAL INC,OTCQX U.S. Premier,15.320000,63.648900,1100,Common Stock,USA,Illinois
FRSB,FIRST RESOURCE BANK (PA),OTCQX U.S. Premier,10.250000,29.791300,2200,Common Stock,USA,Pennsylvania
MNSB,MAINSTREET BANCSHARES INC,OTCQX U.S. Premier,21.600000,59.512000,2880,Common Stock,USA,Virginia
CFST,COMMUNITIES FIRST FINL CP,OTCQX U.S. Premier,23.300000,180.734300,0,Common Stock,USA,California
TCNB,TOWN CENTER BANK (IL),OTCQX U.S. Premier,3.100000,262.226000,0,Common Stock,USA,Illinois
QNTO,QUAINT OAK BANCORP INC,OTCQX U.S. Premier,12.500000,63.797900,217,Common Stock,USA,Pennsylvania
FABK,FIRST ADVANTAGE BANCORP,OTCQX U.S. Premier,25.500000,104.406600,2600,Common Stock,USA,Tennessee
EMPK,EMPIRE BANCORP INC,OTCQX U.S. Premier,12.500000,93.083800,1073,Common Stock,USA,New York
SBKK,SUNCREST BK (VISALIA CA),OTCQX U.S. Premier,11.849000,92.846000,708,Common Stock,USA,California
OTCM,OTC MARKETS GROUP INC A,OTCQX U.S. Premier,33.700000,75.981100,1350,Common Stock,USA,New York
VLLX,VALLEY REPUBLIC BANCORP,OTCQX U.S. Premier,33.000000,73.501000,0,Common Stock,USA,California
EMYB,EMBASSY BANCORP INC,OTCQX U.S. Premier,15.510000,77.815000,100,Common Stock,USA,Pennsylvania
CTUY,CENTURY NEXT FINANCIAL CP,OTCQX U.S. Premier,33.000000,51.266600,0,Common Stock,USA,Louisiana
PBAM,PRIVATE BANCORP OF AMER,OTCQX U.S. Premier,23.500000,470.325100,100,Common Stock,USA,California
UNIF,U&I FINANCIAL CORP,OTCQX U.S. Premier,9.210000,17.478500,2250,Common Stock,USA,Washington
