,Mult,OBS_STATUS,OBS_VALUE,Series,TIME_PERIOD,Type,Unit
0,1,,,DTCTL_@%A_BA.M,,TOTAL,Percent
1,1,A,-20.94,DTCTL_@%A_BA.M,1943-02-28,TOTAL,Percent
2,1,A,-42.49,DTCTL_@%A_BA.M,1943-03-31,TOTAL,Percent
3,1,A,-20.88,DTCTL_@%A_BA.M,1943-04-30,TOTAL,Percent
4,1,A,-37.12,DTCTL_@%A_BA.M,1943-05-31,TOTAL,Percent
5,1,A,-23.05,DTCTL_@%A_BA.M,1943-06-30,TOTAL,Percent
6,1,A,-21.41,DTCTL_@%A_BA.M,1943-07-31,TOTAL,Percent
7,1,A,-16.71,DTCTL_@%A_BA.M,1943-08-31,TOTAL,Percent
8,1,A,1.88,DTCTL_@%A_BA.M,1943-09-30,TOTAL,Percent
9,1,A,0.67,DTCTL_@%A_BA.M,1943-10-31,TOTAL,Percent
10,1,A,-15.69,DTCTL_@%A_BA.M,1943-11-30,TOTAL,Percent
11,1,A,-24.60,DTCTL_@%A_BA.M,1943-12-31,TOTAL,Percent
12,1,A,-14.05,DTCTL_@%A_BA.M,1944-01-31,TOTAL,Percent
13,1,A,-9.83,DTCTL_@%A_BA.M,1944-02-29,TOTAL,Percent
14,1,A,3.59,DTCTL_@%A_BA.M,1944-03-31,TOTAL,Percent
15,1,A,1.97,DTCTL_@%A_BA.M,1944-04-30,TOTAL,Percent
16,1,A,11.45,DTCTL_@%A_BA.M,1944-05-31,TOTAL,Percent
17,1,A,8.24,DTCTL_@%A_BA.M,1944-06-30,TOTAL,Percent
18,1,A,6.67,DTCTL_@%A_BA.M,1944-07-31,TOTAL,Percent
19,1,A,7.80,DTCTL_@%A_BA.M,1944-08-31,TOTAL,Percent
20,1,A,3.31,DTCTL_@%A_BA.M,1944-09-30,TOTAL,Percent
21,1,A,3.61,DTCTL_@%A_BA.M,1944-10-31,TOTAL,Percent
22,1,A,0.90,DTCTL_@%A_BA.M,1944-11-30,TOTAL,Percent
23,1,A,3.36,DTCTL_@%A_BA.M,1944-12-31,TOTAL,Percent
24,1,A,3.66,DTCTL_@%A_BA.M,1945-01-31,TOTAL,Percent
25,1,A,-6.19,DTCTL_@%A_BA.M,1945-02-28,TOTAL,Percent
26,1,A,20.21,DTCTL_@%A_BA.M,1945-03-31,TOTAL,Percent
27,1,A,-18.05,DTCTL_@%A_BA.M,1945-04-30,TOTAL,Percent
28,1,A,4.90,DTCTL_@%A_BA.M,1945-05-31,TOTAL,Percent
29,1,A,21.24,DTCTL_@%A_BA.M,1945-06-30,TOTAL,Percent
30,1,A,9.32,DTCTL_@%A_BA.M,1945-07-31,TOTAL,Percent
31,1,A,3.81,DTCTL_@%A_BA.M,1945-08-31,TOTAL,Percent
32,1,A,-1.82,DTCTL_@%A_BA.M,1945-09-30,TOTAL,Percent
33,1,A,36.21,DTCTL_@%A_BA.M,1945-10-31,TOTAL,Percent
34,1,A,33.08,DTCTL_@%A_BA.M,1945-11-30,TOTAL,Percent
35,1,A,92.82,DTCTL_@%A_BA.M,1945-12-31,TOTAL,Percent
36,1,A,-11.43,DTCTL_@%A_BA.M,1946-01-31,TOTAL,Percent
37,1,A,48.23,DTCTL_@%A_BA.M,1946-02-28,TOTAL,Percent
38,1,A,42.48,DTCTL_@%A_BA.M,1946-03-31,TOTAL,Percent
39,1,A,56.15,DTCTL_@%A_BA.M,1946-04-30,TOTAL,Percent
40,1,A,32.59,DTCTL_@%A_BA.M,1946-05-31,TOTAL,Percent
41,1,A,27.06,DTCTL_@%A_BA.M,1946-06-30,TOTAL,Percent
42,1,A,36.06,DTCTL_@%A_BA.M,1946-07-31,TOTAL,Percent
43,1,A,62.24,DTCTL_@%A_BA.M,1946-08-31,TOTAL,Percent
44,1,A,36.59,DTCTL_@%A_BA.M,1946-09-30,TOTAL,Percent
45,1,A,41.24,DTCTL_@%A_BA.M,1946-10-31,TOTAL,Percent
46,1,A,43.59,DTCTL_@%A_BA.M,1946-11-30,TOTAL,Percent
47,1,A,29.43,DTCTL_@%A_BA.M,1946-12-31,TOTAL,Percent
48,1,A,41.40,DTCTL_@%A_BA.M,1947-01-31,TOTAL,Percent
49,1,A,39.16,DTCTL_@%A_BA.M,1947-02-28,TOTAL,Percent
50,1,A,30.55,DTCTL_@%A_BA.M,1947-03-31,TOTAL,Percent
51,1,A,34.81,DTCTL_@%A_BA.M,1947-04-30,TOTAL,Percent
52,1,A,31.60,DTCTL_@%A_BA.M,1947-05-31,TOTAL,Percent
53,1,A,22.99,DTCTL_@%A_BA.M,1947-06-30,TOTAL,Percent
54,1,A,24.62,DTCTL_@%A_BA.M,1947-07-31,TOTAL,Percent
55,1,A,23.10,DTCTL_@%A_BA.M,1947-08-31,TOTAL,Percent
56,1,A,28.74,DTCTL_@%A_BA.M,1947-09-30,TOTAL,Percent
57,1,A,34.89,DTCTL_@%A_BA.M,1947-10-31,TOTAL,Percent
58,1,A,32.42,DTCTL_@%A_BA.M,1947-11-30,TOTAL,Percent
59,1,A,30.71,DTCTL_@%A_BA.M,1947-12-31,TOTAL,Percent
60,1,A,34.82,DTCTL_@%A_BA.M,1948-01-31,TOTAL,Percent
61,1,A,26.82,DTCTL_@%A_BA.M,1948-02-29,TOTAL,Percent
62,1,A,35.22,DTCTL_@%A_BA.M,1948-03-31,TOTAL,Percent
63,1,A,29.55,DTCTL_@%A_BA.M,1948-04-30,TOTAL,Percent
64,1,A,19.87,DTCTL_@%A_BA.M,1948-05-31,TOTAL,Percent
65,1,A,22.76,DTCTL_@%A_BA.M,1948-06-30,TOTAL,Percent
66,1,A,21.63,DTCTL_@%A_BA.M,1948-07-31,TOTAL,Percent
67,1,A,15.01,DTCTL_@%A_BA.M,1948-08-31,TOTAL,Percent
68,1,A,22.49,DTCTL_@%A_BA.M,1948-09-30,TOTAL,Percent
69,1,A,4.99,DTCTL_@%A_BA.M,1948-10-31,TOTAL,Percent
70,1,A,1.83,DTCTL_@%A_BA.M,1948-11-30,TOTAL,Percent
71,1,A,15.37,DTCTL_@%A_BA.M,1948-12-31,TOTAL,Percent
72,1,A,7.48,DTCTL_@%A_BA.M,1949-01-31,TOTAL,Percent
73,1,A,8.12,DTCTL_@%A_BA.M,1949-02-28,TOTAL,Percent
74,1,A,6.28,DTCTL_@%A_BA.M,1949-03-31,TOTAL,Percent
75,1,A,23.88,DTCTL_@%A_BA.M,1949-04-30,TOTAL,Percent
76,1,A,16.44,DTCTL_@%A_BA.M,1949-05-31,TOTAL,Percent
77,1,A,16.07,DTCTL_@%A_BA.M,1949-06-30,TOTAL,Percent
78,1,A,14.25,DTCTL_@%A_BA.M,1949-07-31,TOTAL,Percent
